      n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
   8301,         12072,            3772,              0,     55485,           0,          0
   8302,         12075,            3774,              0,     55496,           0,          0
   8303,         12077,            3775,              0,     55499,           0,          0
   8304,         12078,            3775,              0,     55555,           0,          0
   8305,         12079,            3775,              0,     55550,           0,          0
   8306,         12081,            3776,              0,     55531,           0,          0
   8307,         12083,            3777,              0,     55542,           0,          0
   8308,         12084,            3777,              0,     55573,           0,          0
   8309,         12085,            3777,              0,     55570,           0,          0
   8310,         12087,            3778,              0,     55566,           0,          0
   8311,         12088,            3778,              0,     55592,           0,          0
   8312,         12089,            3778,              0,     55586,           0,          0
   8313,         12090,            3778,              0,     55576,           0,          0
   8314,         12091,            3778,              0,     55574,           0,          0
   8315,         12093,            3779,              0,     55583,           0,          0
   8316,         12094,            3779,              0,     55658,           0,          0
   8317,         12095,            3779,              0,     55659,           0,          0
   8318,         12096,            3779,              0,     55617,           0,          0
   8319,         12098,            3780,              0,     55656,           0,          0
   8320,         12099,            3780,              0,     55601,           0,          0
   8321,         12100,            3780,              0,     55605,           0,          0
   8322,         12101,            3780,              0,     55651,           0,          0
   8323,         12102,            3780,              0,     55645,           0,          0
   8324,         12103,            3780,              0,     55607,           0,          0
   8325,         12104,            3780,              0,     55624,           0,          0
   8326,         12107,            3782,              0,     55648,           0,          0
   8327,         12108,            3782,              0,     55646,           0,          0
   8328,         12109,            3782,              0,     55681,           0,          0
   8329,         12110,            3782,              0,     55681,           0,          0
   8330,         12111,            3782,              0,     55688,           0,          0
   8331,         12113,            3783,              0,     55678,           0,          0
   8332,         12114,            3783,              0,     55681,           0,          0
   8333,         12115,            3783,              0,     55683,           0,          0
   8334,         12116,            3783,              0,     55701,           0,          0
   8335,         12117,            3783,              0,     55710,           0,          0
   8336,         12119,            3784,              0,     55711,           0,          0
   8337,         12120,            3784,              0,     55709,           0,          0
   8338,         12122,            3785,              0,     55725,           0,          0
   8339,         12123,            3785,              0,     55721,           0,          0
   8340,         12124,            3785,              0,     55756,           0,          0
   8341,         12126,            3786,              0,     55741,           0,          0
   8342,         12128,            3787,              0,     55726,           0,          0
   8343,         12129,            3787,              0,     55724,           0,          0
   8344,         12130,            3787,              0,     55736,           0,          0
   8345,         12131,            3787,              0,     55738,           0,          0
   8346,         12133,            3788,              0,     55784,           0,          0
   8347,         12135,            3789,              0,     55750,           0,          0
   8348,         12136,            3789,              0,     55778,           0,          0
   8349,         12137,            3789,              0,     55780,           0,          0
   8350,         12138,            3789,              0,     55783,           0,          0
   8351,         12139,            3789,              0,     55800,           0,          0
   8352,         12140,            3789,              0,     55798,           0,          0
   8353,         12141,            3789,              0,     55799,           0,          0
   8354,         12143,            3790,              0,     55805,           0,          0
   8355,         12145,            3791,              0,     55822,           0,          0
   8356,         12148,            3793,              0,     55765,           0,          0
   8357,         12152,            3796,              0,     55761,           0,          0
   8358,         12153,            3796,              0,     55846,           0,          0
   8359,         12154,            3796,              0,     55813,           0,          0
   8360,         12155,            3796,              0,     55881,           0,          0
   8361,         12156,            3796,              0,     55872,           0,          0
   8362,         12157,            3796,              0,     55855,           0,          0
   8363,         12159,            3797,              0,     55882,           0,          0
   8364,         12160,            3797,              0,     55820,           0,          0
   8365,         12164,            3800,              0,     55822,           0,          0
   8366,         12165,            3800,              0,     55876,           0,          0
