   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
547,73392,72852,48611,4293,0,2000
548,73399,72858,44314,4299,0,1000
549,73823,73281,43106,4307,0,1001
550,74018,73475,44635,4323,0,999
551,74291,73747,45841,4328,0,2009
552,74371,73826,46169,4334,0,1023
553,74564,74018,45186,4342,0,2000
554,74914,74367,44617,4348,0,1998
555,75396,74848,44658,4363,0,1502
556,75576,75027,45039,4378,0,2000
557,76119,75569,47050,4380,0,1000
558,76129,75578,46384,4371,0,1000
559,76681,76129,46051,4401,0,1005
560,76863,76310,45079,4389,0,1001
561,77067,76513,46141,4403,0,1007
562,77201,76646,45057,4407,0,1996
563,77480,76924,45573,4430,0,1010
564,77896,77339,49726,4431,0,2004
565,78429,77871,47115,4444,0,1008
566,78465,77906,47614,4462,0,1524
567,78692,78132,46924,4470,0,1510
568,78735,78174,46534,4483,0,2000
569,79248,78686,47559,4491,0,2001
570,79483,78920,47074,4485,0,1991
571,79918,79354,47465,4506,0,1001
572,80441,79876,47744,4529,0,1999
573,80799,80233,47538,4534,0,1000
574,81321,80754,48618,4556,0,2000
575,81779,81211,50550,4554,0,2000
576,82153,81584,50104,4553,0,1504
577,82670,82100,48542,4564,0,1001
578,83164,82593,52628,4572,0,2000
579,83188,82616,51921,4579,0,3513
580,83543,82970,50691,4595,0,1997
581,83801,83227,50582,4602,0,1998
582,84361,83786,51557,4621,0,2529
583,84648,84072,54576,4616,0,2000
584,84660,84083,52195,4647,0,1997
585,84829,84251,53347,4651,0,1999
586,85383,84804,51683,4656,0,997
587,85563,84983,50733,4669,0,998
588,85869,85288,51564,4674,0,2000
589,85964,85382,50071,4692,0,2512
590,86545,85962,53549,4710,0,1508
591,86889,86305,51064,4723,0,1998
592,87434,86849,55102,4705,0,1003
593,88020,87434,54050,4712,0,999
594,88607,88020,55741,4715,0,2502
595,88848,88260,53247,4733,0,2003
596,89092,88503,52670,4738,0,2511
597,89542,88952,57265,4752,0,999
598,89606,89015,52963,4772,0,2000
599,90146,89554,55561,4771,0,2006
600,90335,89742,53575,4789,0,999
601,90453,89859,54300,4797,0,2000
602,91004,90409,53548,4805,0,1508
603,91169,90573,53637,4810,0,2001
604,91532,90935,56932,4807,0,1000
605,91625,91027,57596,4809,0,1000
606,91984,91385,57178,4826,0,997
607,92069,91469,54320,4850,0,1557
608,92359,91758,55003,4855,0,2000
609,92845,92243,58076,4866,0,1999
610,93129,92526,55574,4877,0,1997
611,93522,92918,56067,4875,0,2006
612,93986,93381,56081,4899,0,2514
613,94534,93928,56076,4916,0,2506
614,94804,94197,57205,4920,0,2999
615,95077,94469,60069,4932,0,2004
616,95460,94851,61047,4945,0,1000
617,96021,95411,60409,4947,0,1000
618,96432,95821,57556,4960,0,1999
619,96635,96023,57049,4982,0,2001
620,96646,96033,58579,4969,0,999
621,96968,96354,57767,4976,0,1513
622,97064,96449,58057,4980,0,1998
623,97511,96895,60175,5001,0,1000
624,97696,97079,59769,5024,0,2508
625,98147,97529,58072,5034,0,1514
626,98681,98062,60583,5043,0,1001
627,98758,98138,58070,5044,0,2000
628,98851,98230,60391,5043,0,2019
629,99176,98554,59643,5055,0,2000
630,99581,98958,63888,5075,0,999
631,99958,99334,60238,5091,0,1999
632,100110,99485,61878,5089,0,1000
633,100431,99805,60075,5096,0,998
634,100917,100290,60131,5108,0,2001
635,101111,100483,59589,5110,0,1002
636,101651,101022,62147,5121,0,1994
637,101765,101135,59854,5143,0,2012
638,102066,101435,62669,5141,0,1999
639,102544,101912,61602,5177,0,1981
640,102630,101997,61147,5171,0,2507
641,102873,102239,64127,5179,0,1998
642,103274,102639,68103,5199,0,1999
643,103632,102996,67560,5222,0,2510
644,103654,103017,62131,5203,0,1541
645,103720,103082,63822,5210,0,1997
646,104154,103515,65457,5235,0,1998
647,104755,104115,63563,5230,0,1502
648,105020,104379,66858,5255,0,2503
649,105338,104696,62650,5262,0,1999
650,105345,104702,63590,5287,0,1505
651,105740,105096,63564,5281,0,2000
652,106040,105395,71174,5291,0,1501
653,106492,105846,64557,5300,0,2000
654,106565,105918,67675,5290,0,2000
655,106733,106085,64582,5317,0,2510
656,107330,106681,65793,5335,0,1000
657,107756,107106,69651,5347,0,2506
658,108013,107362,67588,5361,0,1503
659,108217,107565,64794,5364,0,1999
660,108454,107801,64214,5337,0,2001
661,108557,107903,64556,5345,0,2509
662,108768,108113,66884,5377,0,2508
663,109220,108564,66290,5394,0,2508
664,109258,108601,65554,5384,0,2000
665,109361,108703,65346,5391,0,1999
666,109840,109181,66134,5393,0,1997
667,109949,109289,68028,5414,0,1997
668,110130,109469,66552,5452,0,2011
669,110732,110070,66593,5455,0,1035
670,110869,110206,69820,5454,0,3000
671,111244,110580,67193,5469,0,1997
672,111617,110952,66620,5491,0,1999
673,111738,111072,71718,5500,0,1997
674,111773,111106,67769,5503,0,1999
675,111774,111106,69702,5519,0,2000
676,112127,111458,68582,5519,0,2512
677,112295,111625,76117,5523,0,1999
678,112372,111701,71519,5541,0,1998
679,112795,112123,68239,5557,0,1999
680,113421,112748,67250,5549,0,1998
681,113963,113289,67895,5555,0,2002
682,114072,113397,67214,5571,0,2001
683,114639,113963,68089,5578,0,1999
684,114762,114085,67644,5587,0,2000
685,114953,114275,75118,5606,0,1999
686,115095,114416,68551,5633,0,1999
687,115512,114832,71081,5614,0,2000
688,115868,115187,69121,5625,0,2517
689,115885,115203,70574,5639,0,1997
690,115963,115280,69993,5658,0,2000
691,116531,115847,70822,5678,0,2508
692,116627,115942,70726,5682,0,2000
693,117231,116545,70637,5679,0,1999
694,117646,116959,76271,5688,0,1994
695,117673,116985,71582,5704,0,1502
696,117729,117040,72223,5706,0,1999
697,118198,117508,70571,5722,0,1999
698,118329,117638,70660,5726,0,1560
699,118606,117914,77565,5750,0,1593
700,118708,118015,70659,5753,0,1983
701,118739,118045,75277,5758,0,2006
702,119102,118407,71398,5775,0,1999
703,119269,118573,71883,5790,0,2510
704,119495,118798,71570,5804,0,1998
705,120049,119351,72526,5813,0,2000
706,120551,119852,73661,5821,0,2000
707,121247,120547,74242,5819,0,2004
708,121867,121166,73596,5838,0,1998
709,121992,121290,73973,5858,0,2004
710,122078,121375,74560,5848,0,2546
711,122087,121383,72357,5859,0,2001
712,122112,121407,77563,5862,0,1976
713,122137,121431,74475,5863,0,3008
714,122639,121932,73251,5886,0,1999
715,123287,122579,76646,5896,0,3003
716,123686,122977,74609,5903,0,2998
717,124329,123619,83508,5926,0,1514
718,124441,123730,74985,5928,0,2504
719,124613,123901,77734,5931,0,2532
720,125185,124472,75997,5938,0,2514
721,125721,125007,76982,5952,0,2512
722,125809,125094,76092,5945,0,2001
723,126274,125558,77925,5976,0,2007
724,126530,125813,77826,5973,0,2999
725,127079,126361,78477,5972,0,2518
726,127611,126892,77745,5996,0,2011
727,127644,126924,77216,5993,0,2540
728,128303,127582,75944,6035,0,2555
729,128682,127960,85107,6047,0,2001
730,129226,128503,78323,6049,0,3018
731,129455,128731,79602,6054,0,3512
732,130001,129276,81771,6076,0,2001
733,130268,129542,80624,6082,0,4503
734,130453,129726,79199,6086,0,3005
735,130875,130147,78100,6103,0,1999
736,131558,130829,78147,6079,0,3003
737,131984,131254,81242,6087,0,2000
738,132408,131677,79861,6085,0,2508
739,132721,131989,81025,6105,0,2002
740,133365,132632,81260,6107,0,1999
741,133841,133107,81067,6122,0,2503
742,133975,133240,80349,6156,0,3001
743,134274,133538,81339,6136,0,2000
744,134985,134248,82260,6158,0,1998
745,135457,134719,82289,6173,0,2000
746,136021,135282,80665,6189,0,3510
747,136256,135516,87077,6199,0,1503
748,136838,136097,83149,6208,0,1999
749,137119,136377,84867,6204,0,1998
750,137477,136734,82553,6216,0,2000
751,137978,137234,83758,6226,0,2000
752,138218,137473,83341,6225,0,2506
753,138466,137720,83375,6236,0,3017
754,138634,137887,84220,6263,0,2000
755,139093,138345,90103,6264,0,1999
756,139117,138368,84194,6283,0,3009
757,139589,138839,84170,6304,0,2502
758,140013,139262,93084,6300,0,2001
759,140056,139304,87831,6304,0,2999
760,140613,139860,91080,6330,0,2503
761,140677,139923,85308,6331,0,2999
762,140720,139965,89293,6323,0,2522
763,141422,140666,85377,6337,0,2002
764,141473,140716,85568,6355,0,2502
765,141730,140972,85576,6363,0,1999
766,142405,141646,87111,6382,0,3000
767,142962,142202,85610,6383,0,2004
768,143273,142512,86595,6382,0,2529
769,143379,142617,89641,6393,0,1998
770,143942,143179,88370,6416,0,3002
771,144669,143905,90098,6421,0,2004
772,144794,144029,92608,6437,0,2998
773,145042,144276,88544,6458,0,3002
774,145731,144964,87198,6464,0,2001
775,146384,145616,88650,6469,0,2503
776,146786,146017,89866,6491,0,2999
777,146882,146112,90395,6497,0,3008
778,147486,146715,91616,6463,0,1999
779,147494,146722,88706,6482,0,2001
780,148054,147281,97580,6504,0,2000
781,148564,147790,92595,6512,0,1999
782,149070,148295,90115,6534,0,2001
783,149304,148528,93462,6539,0,2507
784,149433,148656,94101,6550,0,1998
785,149746,148968,92905,6566,0,1999
786,149923,149144,91078,6569,0,2000
787,150201,149421,94734,6581,0,2000
788,150781,150000,91185,6611,0,2000
789,151197,150415,98311,6619,0,2999
790,151828,151045,91579,6618,0,3003
791,152276,151492,96095,6622,0,2512
792,152777,151992,94238,6638,0,1982
793,152831,152045,91666,6654,0,1998
794,153327,152540,91647,6660,0,2999
795,153695,152907,93976,6672,0,3000
796,153996,153207,92142,6672,0,2040
797,154470,153680,93169,6675,0,2000
798,155022,154231,92313,6678,0,3512
799,155143,154351,94150,6708,0,999
800,155535,154742,95728,6726,0,2001
801,156136,155342,95803,6738,0,1999
802,156579,155784,97023,6743,0,1998
803,156698,155902,97317,6765,0,1999
804,157320,156523,95428,6727,0,3002
805,157766,156968,95695,6741,0,2998
806,158354,157555,96695,6755,0,2006
